timesheet_id,employee_id,date,checkin,checkout
66950729,15729,12/23/20,8:56:15,
66950888,21798,12/23/20,17:08:33,
66950966,26631,12/23/20,14:10:29,
66951043,33936,12/23/20,13:56:04,
66953419,53,12/23/20,6:43:00,15:33:23
67736192,36,12/23/20,7:04:42,17:02:03
67736502,152949,12/23/20,7:54:45,17:01:16
67736625,196431,12/23/20,8:12:59,15:25:34
68018835,71,12/23/20,7:17:07,
68018952,95,12/23/20,8:02:50,
68019012,97,12/23/20,7:07:18,
68019159,83,12/23/20,12:56:49,21:00:00
68019216,85,12/23/20,7:59:00,
68019271,98,12/23/20,7:30:33,
68019359,103,12/23/20,8:48:56,
68019503,100,12/23/20,8:02:19,
70561513,285438,12/23/20,7:54:33,
70561542,285454,12/23/20,7:52:32,16:35:57
70641497,251119,12/23/20,8:51:12,
70646441,201506,12/23/20,7:59:40,17:16:18
70646739,174070,12/23/20,8:00:10,
70646795,69,12/23/20,8:00:16,
70648277,117041,12/23/20,8:02:36,17:10:01
70649593,59,12/23/20,8:05:29,17:05:18
70649597,109100,12/23/20,8:05:30,17:05:30
70650186,9908,12/23/20,8:06:52,
70650458,70,12/23/20,8:07:33,17:13:27
70685696,65,12/23/20,9:30:54,
